PassengerId,Survived,Age,SibSp,Parch,Fare,Cabin_No,Cabin_Yes,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Sex_Pclass_female_1,Sex_Pclass_female_2,Sex_Pclass_female_3,Sex_Pclass_male_1,Sex_Pclass_male_2,Sex_Pclass_male_3,Age_scaled,Fare_scaled
1,0,22.0,1,0,7.25,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.56138008091,-0.502445171436
2,1,38.0,1,0,71.2833,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0.613170753031,0.786845293588
3,1,26.0,0,0,7.925,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,-0.267742372425,-0.488854257585
4,1,35.0,1,0,53.1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0.392942471667,0.420730236069
5,0,35.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.392942471667,-0.486337421687
6,0,23.8389525861,0,0,8.4583,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,-0.426383625063,-0.478116428909
7,0,54.0,0,0,51.8625,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1.78772158697,0.395813560675
8,0,2.0,3,1,21.075,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-2.02956862334,-0.224083121082
9,1,27.0,0,2,11.1333,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,-0.194332945304,-0.424256140685
10,1,14.0,1,0,30.0708,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,-1.14865549788,-0.0429555020886
11,1,4.0,1,1,16.7,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,-1.88274976909,-0.312172377523
12,1,58.0,0,0,26.55,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,2.08135929546,-0.113845708735
13,0,20.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.708198935153,-0.486337421687
14,0,39.0,1,5,31.275,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.686580180152,-0.0187093117785
15,0,14.0,0,0,7.8542,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,-1.14865549788,-0.490279793438
16,1,55.0,0,0,16.0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1.86113101409,-0.326266658554
17,0,2.0,4,1,29.125,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,-2.02956862334,-0.0619988892297
18,1,32.0664930501,0,0,13.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0.177595407015,-0.386670720113
19,0,31.0,1,0,18.0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0.0993047631816,-0.28599728418
20,1,29.5182051421,0,0,7.225,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,-0.0094729484496,-0.502948538616
21,0,35.0,0,0,26.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0.392942471667,-0.124919786688
22,1,34.0,0,0,13.0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0.319533044546,-0.386670720113
23,1,15.0,0,0,8.0292,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,-1.07524607076,-0.48675622318
24,1,28.0,0,0,35.5,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,-0.120923518182,0.0663597415848
25,0,8.0,3,1,21.075,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,-1.58911206061,-0.224083121082
26,1,38.0,1,5,31.3875,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0.613170753031,-0.01644415947
27,0,29.5182051421,0,0,7.225,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-0.0094729484496,-0.502948538616
28,0,19.0,3,2,263.0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,-0.781608362274,4.64700107653
29,1,22.3801132388,0,0,7.8792,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,-0.533476185807,-0.489776426258
30,0,27.9472061629,0,0,7.8958,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.124799083517,-0.489442190451
31,0,40.0,0,0,27.7208,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0.759989607273,-0.0902720169771
32,1,36.1080482222,1,0,146.5208,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0.474283656883,2.30172882079
33,1,35.295824299,0,0,7.75,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0.414658763987,-0.492377827843
34,0,66.0,0,0,10.5,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,2.66863471243,-0.43700743808
35,0,28.0,1,0,82.1708,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,-0.120923518182,1.00606170033
36,0,42.0,1,0,52.0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0.906808461516,0.398582080163
37,1,22.8763068619,0,0,7.2292,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-0.497050896197,-0.50286397293
38,0,21.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.634789508032,-0.486337421687
39,0,18.0,2,0,18.0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,-0.855017789395,-0.28599728418
40,1,14.0,1,0,11.2417,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,-1.14865549788,-0.422073540594
41,0,40.0,1,0,9.475,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0.759989607273,-0.457645492446
42,0,27.0,1,0,21.0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,-0.194332945304,-0.225593222621
43,0,27.9472061629,0,0,7.8958,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-0.124799083517,-0.489442190451
44,1,3.0,1,2,41.5792,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,-1.95615919622,0.188762531929
45,1,19.0,0,0,7.8792,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,-0.781608362274,-0.489776426258
46,0,30.7057267793,0,0,8.05,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.0777023346307,-0.486337421687
47,0,33.1289853535,1,0,15.5,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0.255592358334,-0.336334002147
48,1,35.295824299,0,0,7.75,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0.414658763987,-0.492377827843
49,0,23.4596833333,2,0,21.6792,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-0.454225563632,-0.211917743084
50,0,18.0,1,0,17.8,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,-0.855017789395,-0.290024221618
51,0,7.0,4,1,39.6875,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-1.66252148773,0.150673744179
52,0,21.0,0,0,7.8,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.634789508032,-0.491371093484
53,1,49.0,1,0,76.7292,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1.42067445137,0.896496786538
54,1,29.0,1,0,26.0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,-0.047514091061,-0.124919786688
55,0,65.0,0,1,61.9792,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,2.59522528531,0.599510150536
56,1,44.0648303571,0,0,35.5,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1.05838647514,0.0663597415848
57,1,21.0,0,0,10.5,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,-0.634789508032,-0.43700743808
58,0,28.5,0,0,7.2292,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-0.0842188046217,-0.50286397293
59,1,5.0,1,2,27.75,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,-1.80934034197,-0.0896840841112
60,0,11.0,5,2,46.9,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-1.36888377924,0.295895175512
61,0,22.0,0,0,7.2292,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-0.56138008091,-0.50286397293
62,1,38.0,0,0,80.0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.613170753031,0.962353321388
63,0,45.0,1,0,83.475,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1.12703674288,1.03232135936
64,0,4.0,3,2,27.9,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-1.88274976909,-0.0866638810332
65,0,41.2000884776,0,0,27.7208,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0.848087414912,-0.0902720169771
66,1,17.0999159524,1,1,15.2458,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-0.921092443692,-0.34145223963
67,1,29.0,0,0,10.5,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,-0.047514091061,-0.43700743808
68,0,19.0,0,0,8.1583,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.781608362274,-0.484156835065
69,1,17.0,4,2,7.925,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,-0.928427216517,-0.488854257585
70,0,26.0,2,0,8.6625,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.267742372425,-0.474004925785
71,0,32.0,0,0,10.5,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0.172714190303,-0.43700743808
72,0,16.0,5,2,46.9,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,-1.00183664364,0.295895175512
73,0,21.0,0,0,73.5,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,-0.634789508032,0.831477854675
74,0,26.0,1,0,14.4542,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-0.267742372425,-0.357390858007
75,1,32.0,0,0,56.4958,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.172714190303,0.489103606817
76,0,25.0,0,0,7.65,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.341151799546,-0.494391296562
77,0,27.9472061629,0,0,7.8958,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.124799083517,-0.489442190451
78,0,30.7057267793,0,0,8.05,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.0777023346307,-0.486337421687
79,1,0.83,0,2,29.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,-2.11545765307,-0.064515725128
80,1,30.0,0,0,12.475,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0.0258953360603,-0.397241430886
81,0,22.0,0,0,9.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.56138008091,-0.46720946886
82,1,29.0,0,0,9.5,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.047514091061,-0.457142125266
83,1,23.3226273886,0,0,7.7875,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,-0.464286762019,-0.491622777073
84,0,28.0,0,0,47.1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,-0.120923518182,0.299922112949
85,1,17.0,0,0,10.5,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,-0.928427216517,-0.43700743808
86,1,33.0,3,0,15.85,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0.246123617424,-0.329286861632
87,0,16.0,1,3,34.375,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-1.00183664364,0.0437082184999
88,0,30.7057267793,0,0,8.05,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.0777023346307,-0.486337421687
89,1,23.0,3,2,263.0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,-0.487970653789,4.64700107653
90,0,24.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.414561226668,-0.486337421687
91,0,29.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.047514091061,-0.486337421687
92,0,20.0,0,0,7.8542,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.708198935153,-0.490279793438
93,0,46.0,1,0,61.175,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1.20044617,0.5833178351
94,0,26.0,1,2,20.575,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.267742372425,-0.234150464675
95,0,59.0,0,0,7.25,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,2.15476872258,-0.502445171436
96,0,30.7057267793,0,0,8.05,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.0777023346307,-0.486337421687
97,0,71.0,0,0,34.6542,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,3.03568184803,0.0493298231624
98,1,23.0,0,1,63.3583,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,-0.487970653789,0.627277897635
99,1,34.0,0,1,23.0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0.319533044546,-0.185323848248
100,0,34.0,1,0,26.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0.319533044546,-0.124919786688
101,0,28.0,0,0,7.8958,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,-0.120923518182,-0.489442190451
102,0,27.9472061629,0,0,7.8958,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.124799083517,-0.489442190451
103,0,21.0,0,1,77.2875,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,-0.634789508032,0.907737982394
104,0,33.0,0,0,8.6542,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.246123617424,-0.474172043689
105,0,37.0,2,0,7.925,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.539761325909,-0.488854257585
106,0,28.0,0,0,7.8958,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.120923518182,-0.489442190451
107,1,21.0,0,0,7.65,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,-0.634789508032,-0.494391296562
108,1,27.5154542629,0,0,7.775,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.15649374316,-0.491874460663
109,0,38.0,0,0,7.8958,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.613170753031,-0.489442190451
110,1,33.551175909,1,0,24.15,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0.286585125145,-0.162168957983
111,0,47.0,0,0,52.0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1.27385559712,0.398582080163
112,0,14.5,1,0,14.4542,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,-1.11195078432,-0.357390858007
113,0,22.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.56138008091,-0.486337421687
114,0,20.0,1,0,9.825,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,-0.708198935153,-0.450598351931
115,0,17.0,0,0,14.4583,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,-0.928427216517,-0.357308305789
116,0,21.0,0,0,7.925,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.634789508032,-0.488854257585
117,0,70.5,0,0,7.75,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,2.99897713447,-0.492377827843
118,0,29.0,1,0,21.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,-0.047514091061,-0.225593222621
119,0,24.0,0,1,247.5208,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,-0.414561226668,4.33533222663
120,0,2.0,4,2,31.275,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,-2.02956862334,-0.0187093117785
121,0,21.0,2,0,73.5,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,-0.634789508032,0.831477854675
122,0,30.7057267793,0,0,8.05,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.0777023346307,-0.486337421687
123,0,32.5,1,0,30.0708,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0.209418903864,-0.0429555020886
124,1,32.5,0,0,13.0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0.209418903864,-0.386670720113
125,0,54.0,0,1,77.2875,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1.78772158697,0.907737982394
126,1,12.0,1,0,11.2417,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-1.29547435212,-0.422073540594
127,0,35.295824299,0,0,7.75,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0.414658763987,-0.492377827843
128,1,24.0,0,0,7.1417,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.414561226668,-0.504625758058
129,1,25.7833769841,1,1,22.3583,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,-0.283644543921,-0.198244277015
130,0,45.0,0,0,6.975,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1.12703674288,-0.507982210413
131,0,33.0,0,0,7.8958,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.246123617424,-0.489442190451
132,0,20.0,0,0,7.05,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.708198935153,-0.506472108874
133,0,47.0,1,0,14.5,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1.27385559712,-0.356468689333
134,1,29.0,1,0,26.0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,-0.047514091061,-0.124919786688
135,0,25.0,0,0,13.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,-0.341151799546,-0.386670720113
136,0,23.0,0,0,15.0458,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,-0.487970653789,-0.345479177067
137,1,19.0,0,2,26.2833,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,-0.781608362274,-0.119215629808
138,0,37.0,1,0,53.1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0.539761325909,0.420730236069
139,0,16.0,0,0,9.2167,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-1.00183664364,-0.462846282146
140,0,24.0,0,0,79.2,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,-0.414561226668,0.946245571638
141,0,25.3440958333,0,2,15.2458,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,-0.315891921546,-0.34145223963
142,1,22.0,0,0,7.75,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,-0.56138008091,-0.492377827843
143,1,24.0,1,0,15.85,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,-0.414561226668,-0.329286861632
144,0,19.0,0,0,6.75,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,-0.781608362274,-0.512512515029
145,0,18.0,0,0,11.5,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,-0.855017789395,-0.416872750893
146,0,19.0,1,1,36.75,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,-0.781608362274,0.091528100568
147,1,27.0,0,0,7.7958,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.194332945304,-0.49145565917
148,0,9.0,2,2,34.375,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,-1.51570263349,0.0437082184999
149,0,36.5,0,2,26.0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0.503056612349,-0.124919786688
150,0,42.0,0,0,13.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0.906808461516,-0.386670720113
151,0,51.0,0,0,12.525,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1.56749330561,-0.396234696527
152,1,22.0,1,0,66.6,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,-0.56138008091,0.692548513088
153,0,55.5,0,0,8.05,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1.89783572765,-0.486337421687
154,0,40.5,0,2,14.5,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.796694320834,-0.356468689333
155,0,29.7827961298,0,0,7.3125,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.00995052438038,-0.501186753487
156,0,51.0,0,1,61.3792,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1.56749330561,0.587429338224
157,1,16.0,0,0,7.7333,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,-1.00183664364,-0.492714077119
158,0,30.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.0258953360603,-0.486337421687
159,0,25.5234033438,0,0,8.6625,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.302729059926,-0.474004925785
160,0,10.8698669567,8,2,69.55,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-1.37843677141,0.751945840288
161,0,44.0,0,1,16.1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1.05362731576,-0.324253189835
162,1,40.0,0,0,15.75,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0.759989607273,-0.33130033035
163,0,26.0,0,0,7.775,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.267742372425,-0.491874460663
164,0,17.0,0,0,8.6625,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.928427216517,-0.474004925785
165,0,1.0,4,1,39.6875,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-2.10297805046,0.150673744179
166,1,9.0,0,2,20.525,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-1.51570263349,-0.235157199034
167,1,26.0318821429,0,1,55.0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,-0.265401922582,0.458986141723
168,0,45.0,1,4,27.9,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1.12703674288,-0.0866638810332
169,0,49.5542755952,0,0,25.925,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1.46136350528,-0.126429888227
170,0,28.0,0,0,56.4958,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.120923518182,0.489103606817
171,0,61.0,0,0,33.5,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,2.30158757682,0.0260903672116
172,0,4.0,4,1,29.125,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,-1.88274976909,-0.0619988892297
173,1,1.0,1,1,11.1333,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,-2.10297805046,-0.424256140685
174,0,21.0,0,0,7.925,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.634789508032,-0.488854257585
175,0,56.0,0,0,30.6958,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1.93454044121,-0.030371322597
176,0,18.0,1,1,7.8542,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.855017789395,-0.490279793438
